[(1, 9), (5, 7), (57, 21)]
[(1, 6), (1, 2), (30, 22)]
[(3, 7), (2, 6), (94, 22)]
[(3, 5), (2, 5), (0, 99)]
[(2, 7), (2, 4), (30, 17)]
[(4, 9), (2, 7), (47, 77)]
[(2, 4), (6, 8), (88, 30)]
[(1, 5), (2, 3), (38, 44)]
[(1, 2), (2, 8), (98, 66)]
[(2, 3), (1, 3), (47, 51)]
[(2, 9), (2, 3), (56, 17)]
[(2, 7), (1, 5), (11, 63)]
[(3, 6), (2, 5), (23, 3)]
[(4, 8), (5, 8), (21, 93)]
[(2, 5), (2, 9), (62, 4)]
[(2, 7), (1, 4), (24, 58)]
[(1, 3), (3, 7), (31, 15)]
[(2, 5), (2, 6), (52, 86)]
[(2, 8), (1, 7), (87, 81)]
[(2, 9), (2, 5), (20, 24)]
[(4, 8), (1, 9), (29, 44)]
[(2, 6), (1, 2), (6, 78)]
[(1, 4), (2, 3), (26, 45)]
[(1, 5), (2, 7), (51, 11)]
[(1, 2), (2, 4), (4, 52)]
[(3, 8), (1, 2), (5, 22)]
[(3, 5), (1, 5), (63, 16)]
[(1, 2), (3, 9), (26, 57)]
[(3, 8), (1, 4), (22, 68)]
[(1, 7), (2, 5), (77, 2)]
[(2, 4), (1, 7), (28, 56)]
[(1, 2), (2, 4), (100, 100)]
[(1, 7), (2, 4), (100, 100)]
[(1, 3), (2, 3), (100, 100)]
[(2, 9), (1, 7), (100, 100)]
[(3, 8), (2, 4), (100, 100)]
[(5, 8), (2, 9), (100, 100)]
[(1, 2), (1, 5), (100, 100)]
[(1, 9), (1, 2), (100, 100)]
[(2, 5), (1, 7), (100, 100)]
[(1, 2), (2, 7), (100, 100)]
[(2, 8), (1, 7), (100, 100)]
[(1, 6), (3, 8), (100, 100)]
[(1, 2), (1, 3), (100, 100)]
[(1, 9), (3, 8), (100, 100)]
[(1, 9), (1, 2), (100, 100)]
[(1, 8), (1, 2), (100, 100)]
[(5, 7), (3, 7), (100, 100)]
